month,npi_med,npi_lo,npi_hi,vac_med,vac_lo,vac_hi,comb_med,comb_lo,comb_hi
2020-07-01,59.4,53.1,64.3,0,0,0,60.4,47.4,72.8
2020-08-01,67.3,61,72.2,0,0,0,66.6,54.3,74.3
2020-09-01,59.6,53.4,64.5,0,0,0,61.4,50.4,74.2
2020-10-01,68.9,62.6,73.7,0,0,0,69,58.2,76.5
2020-11-01,75.7,69.6,80.2,0,0,0,74.7,62.7,80.3
2020-12-01,74.7,68.5,79.3,0,0,0,73.9,61.7,80.5
2021-01-01,71.1,64.8,75.9,0,0,0,71.7,61.8,79.3
2021-02-01,69.4,63,74.2,0,0,0,70,59.4,78.1
2021-03-01,65.6,59.2,70.5,0,0,0,66.9,57.9,75.9
2021-04-01,66.5,60.1,71.4,0.1,0,0.2,67.6,55.8,76.8
2021-05-01,68.7,62.3,73.5,2.5,0.9,3.5,70.3,60.9,78.5
2021-06-01,69.7,63.4,74.5,6.4,2.4,9.1,72,62.4,79.4
2021-07-01,74.4,68.2,79,11.7,4.4,16.3,77.6,69.4,83.5
2021-08-01,76,69.8,80.5,22,8.6,29.8,82.1,75.8,87.1
2021-09-01,72.9,66.6,77.5,35.9,14.8,47,83.3,77.6,87.6
2021-10-01,76.3,70.2,80.8,50.8,22.6,63.7,88.7,84,91.3
2021-11-01,75.8,69.6,80.3,58,26.8,71.1,89.7,84.8,92.2
2021-12-01,74,67.8,78.6,59.7,27.9,72.7,89.6,85,92.2
2022-01-01,70.4,64.1,75.2,61.6,29.1,74.6,89.7,84.9,93.2
2022-02-01,70.2,63.8,75,62.3,29.6,75.2,90,85.1,93.6
2022-03-01,68.9,62.5,73.8,62.6,29.8,75.5,89.6,85.2,93.5
2022-04-01,66.7,60.3,71.6,62.6,29.8,75.5,89,83.8,93.6
2022-05-01,69.2,62.9,74,62.7,29.9,75.6,89.9,85.4,94
2022-06-01,70.9,64.6,75.7,62.7,29.9,75.6,90.4,86.3,94.1
2022-07-01,72.6,66.4,77.3,62.7,29.9,75.6,90.7,86.6,93.8
