date,R0_t_point
2020-05-25,3.5
2020-06-08,3.5
2020-06-22,3.5
2020-07-06,3.5
2020-07-20,3.5
2020-08-03,3.5
2020-08-17,3.5
2020-08-31,3.5
2020-09-14,3.5
2020-09-28,3.5
2020-10-12,3.5
2020-10-26,3.5
2020-11-09,3.5
2020-11-23,3.5
2020-12-07,3.5
2020-12-21,3.511368
2021-01-04,3.5627095
2021-01-18,3.6163225
2021-02-01,3.615591
2021-02-15,3.701985
2021-03-01,3.677037
2021-03-15,3.5974855
2021-03-29,3.6648885
2021-04-12,3.7218195
2021-04-26,3.830449
2021-05-10,3.959354
2021-05-24,3.852576
2021-06-07,3.6671845
2021-06-21,4.10529
2021-07-05,4.9754215
2021-07-19,5.5657385
2021-08-02,6.110909
2021-08-16,6.740671
2021-08-30,6.8131455
2021-09-13,6.8729325
2021-09-27,6.8860295
2021-10-11,6.895
2021-10-25,6.895
2021-11-08,6.895
2021-11-22,6.895
2021-12-06,7.120848
2021-12-20,7.35602
2022-01-03,8.771196
2022-01-17,13.15244
2022-01-31,16.186884
2022-02-14,17.190768
2022-02-28,17.240531
2022-03-14,17.248784
2022-03-28,17.202731
2022-04-11,17.208233
2022-04-25,17.2481225
2022-05-09,17.2041065
2022-05-23,17.208233
2022-06-06,17.219237
2022-06-20,17.158715
2022-07-04,17.1545885
2022-07-18,17.2316165
