mon,N_bar,V_bar,Rt_bar,R0t_bar,R_rho,EN_med,EN_lo,EN_hi,EV_med,EV_lo,EV_hi,E_text_med,E_text_lo,E_text_hi,E_model_med,E_model_lo,E_model_hi
2020-05-01,0.313530357,0,1.037424052,3.5,0.703593128,0.53186333,0.53186333,0.53186333,0,0,0,0.53186333,0.53186333,0.53186333,0.53186333,0.53186333,0.53186333
2020-06-01,0.435941071,0,1.048540972,3.5,0.700416865,0.651921458,0.651921458,0.651921458,0,0,0,0.651921458,0.651921458,0.651921458,0.651921458,0.651921458,0.651921458
2020-07-01,0.431057143,0,0.977110544,3.5,0.720825559,0.647781692,0.647781692,0.647781692,0,0,0,0.647781692,0.647781692,0.647781692,0.647781692,0.647781692,0.647781692
2020-08-01,0.393204762,0,1.224101104,3.5,0.650256827,0.613981883,0.613981883,0.613981883,0,0,0,0.613981883,0.613981883,0.613981883,0.613981883,0.613981883,0.613981883
2020-09-01,0.54605,0,0.858183523,3.5,0.754804708,0.733366193,0.733366193,0.733366193,0,0,0,0.733366193,0.733366193,0.733366193,0.733366193,0.733366193,0.733366193
2020-10-01,0.5532375,0,1.055411135,3.5,0.698453961,0.737965365,0.737965365,0.737965365,0,0,0,0.737965365,0.737965365,0.737965365,0.737965365,0.737965365,0.737965365
2020-11-01,0.4876125,0,1.145070511,3.5,0.672836997,0.692848276,0.692848276,0.692848276,0,0,0,0.692848276,0.692848276,0.692848276,0.692848276,0.692848276,0.692848276
2020-12-01,0.479175,0,1.13893447,3.505684,0.67511776,0.686510032,0.686510032,0.686510032,0,0,0,0.686510032,0.686510032,0.686510032,0.686510032,0.686510032,0.686510032
2021-01-01,0.416675,0,0.922100713,3.589516,0.743112801,0.635302771,0.635302771,0.635302771,0,0,0,0.635302771,0.635302771,0.635302771,0.635302771,0.635302771,0.635302771
2021-02-01,0.416675,0,0.971891982,3.658788,0.734367779,0.635302771,0.635302771,0.635302771,0,0,0,0.635302771,0.635302771,0.635302771,0.635302771,0.635302771,0.635302771
2021-03-01,0.448758333,0,1.000157782,3.646470333,0.725718931,0.662555823,0.662555823,0.662555823,0,0,0,0.662555823,0.662555823,0.662555823,0.662555823,0.662555823,0.662555823
2021-04-01,0.449275,0.001,1.057597404,3.77613425,0.719925899,0.662977617,0.662977617,0.662977617,0.001541696,0.001541696,0.001541696,0.663497203,0.663497203,0.663497203,0.663497204,0.663497204,0.663497204
2021-05-01,0.516875,0.02,0.967714881,3.905965,0.752246914,0.71385373,0.71385373,0.71385373,0.030386482,0.030386482,0.030386482,0.722548709,0.722548709,0.722548709,0.72254871,0.72254871,0.72254871
2021-06-01,0.56125,0.0525,0.992175339,3.88623725,0.744695119,0.74299899,0.74299899,0.74299899,0.077807711,0.077807711,0.077807711,0.762995651,0.762995651,0.762995651,0.762995653,0.762995653,0.762995653
2021-07-01,0.5259375,0.0985,1.113118888,5.27058,0.788805238,0.720062996,0.720062996,0.720062996,0.140989627,0.140989627,0.140989627,0.75953121,0.75953121,0.75953121,0.759531214,0.759531214,0.759531214
2021-08-01,0.54375,0.1965,1.01454142,6.77690825,0.850294355,0.731877477,0.731877477,0.731877477,0.261531713,0.261531713,0.261531713,0.802000019,0.802000019,0.802000019,0.802000027,0.802000027,0.802000027
2021-09-01,0.55625,0.351,1.105835258,6.879481,0.839256005,0.739869345,0.739869345,0.739869345,0.418156067,0.418156067,0.418156067,0.848644557,0.848644557,0.848644557,0.848644568,0.848644568,0.848644568
2021-10-01,0.559375,0.5615,0.947635933,6.895,0.862561866,0.74182981,0.74182981,0.74182981,0.579508305,0.579508305,0.579508305,0.891441579,0.891441579,0.891441579,0.891441592,0.891441592,0.891441592
2021-11-01,0.47,0.684,1.088599387,6.895,0.842117565,0.679469249,0.679469249,0.679469249,0.651923884,0.651923884,0.651923884,0.888430901,0.888430901,0.888430901,0.888430914,0.888430914,0.888430914
2021-12-01,0.45625,0.7165,1.060074065,7.238434,0.853549253,0.668620498,0.668620498,0.668620498,0.668947365,0.668947365,0.668947365,0.890295943,0.890295943,0.890295943,0.890295956,0.890295956,0.890295956
2022-01-01,0.4175,0.755,1.334610233,14.669662,0.909022428,0.636030404,0.636030404,0.636030404,0.688039597,0.688039597,0.688039597,0.886455898,0.886455898,0.886455898,0.886455911,0.886455911,0.886455911
2022-02-01,0.514375,0.7685,1.306288554,17.2156495,0.924122029,0.71211672,0.71211672,0.71211672,0.694470204,0.694470204,0.694470204,0.91204308,0.91204308,0.91204308,0.912043093,0.912043093,0.912043093
2022-03-01,0.44375,0.7755,1.081034074,17.2257575,0.937243162,0.658439686,0.658439686,0.658439686,0.697752233,0.697752233,0.697752233,0.896764158,0.896764158,0.896764158,0.896764171,0.896764171,0.896764171
2022-04-01,0.565625,0.7765,0.806180192,17.22817775,0.953205719,0.745706528,0.745706528,0.745706528,0.698218207,0.698218207,0.698218207,0.92325886,0.92325886,0.92325886,0.923258872,0.923258872,0.923258872
2022-05-01,0.58375,0.7775,0.872811428,17.20616975,0.949273346,0.756622932,0.756622932,0.756622932,0.698683463,0.698683463,0.698683463,0.926666465,0.926666465,0.926666465,0.926666477,0.926666477,0.926666477
2022-06-01,0.57875,0.778,0.864454281,17.188976,0.949708797,0.753659192,0.753659192,0.753659192,0.698915822,0.698915822,0.698915822,0.92583068,0.92583068,0.92583068,0.925830693,0.925830693,0.925830693
2022-07-01,0.534375,0.778,1.305075211,17.1931025,0.924093094,0.725722855,0.725722855,0.725722855,0.698915822,0.698915822,0.698915822,0.917419491,0.917419491,0.917419491,0.917419504,0.917419504,0.917419504
