month,NPI_med,NPI_lo95,NPI_hi95,Vacc_med,Vacc_lo95,Vacc_hi95,Interaction_med,Interaction_lo95,Interaction_hi95,Combined_med,Combined_lo95,Combined_hi95
2020-05-01,55.45140179026264,50.8345712912698,59.4311171245209,0,0,0,0,0,0,55.45140179026264,50.8345712912698,59.4311171245209
2020-06-01,67.5115213865773,62.73719827334708,71.47530302176077,0,0,0,0,0,0,67.5115213865773,62.73719827334708,71.47530302176077
2020-07-01,67.09972252533947,62.32280303139148,71.07160764591387,0,0,0,0,0,0,67.09972252533947,62.32280303139148,71.07160764591387
2020-08-01,63.725981432563,58.95083215957844,67.74277685328107,0,0,0,0,0,0,63.725981432563,58.95083215957844,67.74277685328107
2020-09-01,75.54300046774635,70.96048741582756,79.22112150932048,0,0,0,0,0,0,75.54300046774635,70.96048741582756,79.22112150932048
2020-10-01,75.99217033393127,71.42930502121322,79.6464504716939,0,0,0,0,0,0,75.99217033393127,71.42930502121322,79.6464504716939
2020-11-01,71.56485783693364,66.8518384299674,75.4161882062943,0,0,0,0,0,0,71.56485783693364,66.8518384299674,75.4161882062943
2020-12-01,70.93932311961952,66.21240557235177,74.81202549975721,0,0,0,0,0,0,70.93932311961952,66.21240557235177,74.81202549975721
2021-01-01,65.85649439734031,61.075535534385985,69.84931971284186,0,0,0,0,0,0,65.85649439734031,61.075535534385985,69.84931971284186
2021-02-01,65.85649439734031,61.075535534385985,69.84931971284186,0,0,0,0,0,0,65.85649439734031,61.075535534385985,69.84931971284186
2021-03-01,68.56788879473059,63.80317976298841,72.50816078394642,0,0,0,0,0,0,68.56788879473059,63.80317976298841,72.50816078394642
2021-04-01,68.60974339358894,63.845504379315955,72.54900209522745,0.10123812205440341,7.711423850309545e-6,0.1662368551688184,0.03126421754112707,2.004785226716881e-12,0.13367487919908855,68.6518784388573,63.90282443959004,72.57913002400012
2021-05-01,73.6318119132621,68.9771738525305,77.40142835317414,2.0054068218305465,1.5422836391720829e-4,3.272751212994654,0.7168979485051574,4.6089798644288846e-11,3.0309393027429157,74.37227679954552,69.94715358984477,77.94326748374858
2021-06-01,76.48317997194223,71.94301863054248,80.11034536272463,5.1787775512879275,4.0484894795467274e-4,8.364090911111475,2.0298935663084885,1.313685271675527e-10,8.399100338036051,78.22000648976616,74.33683017867736,81.37476547973847
2021-07-01,74.24094405821901,69.6073282296266,77.98311221132417,9.495450100872738,7.595723932118942e-4,15.11557445181298,3.5413407129116004,2.3095858558974718e-10,14.293410507625717,77.60902332584072,74.10160305033817,80.49456810097419
2021-08-01,75.39749872637705,70.80884705479741,79.08314788543132,18.047770521923688,0.001515283363238974,27.886378345300212,7.166664543855362,4.763606176183554e-10,27.24838959511179,81.47074387251119,78.68593508251263,83.75846494330654
2021-09-01,76.17796895681106,71.62354274683202,79.82211921654726,29.91951387118575,0.00270667324221985,44.232386474993326,12.705939690267314,8.704664766767696e-10,44.083261947796714,85.69694441118045,83.44404143097567,87.58085338928112
2021-10-01,76.36918680332863,71.82363886545687,80.00274621609832,43.37615471894363,0.004329870912513637,60.709862180876385,19.635926132765853,1.4003159742870282e-9,60.747260848931504,89.56697810474658,87.37851948980392,91.35176754992077
2021-11-01,70.24348437885604,65.50307461774699,74.13819140389481,49.98361392688374,0.005274475005350169,67.95427002541992,20.04825918808537,1.43326905899244e-9,61.60159515981082,88.31385140798642,85.44406903773395,90.53851935351594
2021-12-01,69.16935575546303,64.41206640635873,73.09445802791345,51.60330058927601,0.005525082756709935,69.64103046189145,20.34946364672522,1.4574383366827732e-9,62.21661529527637,88.30469079980394,85.21901772920808,90.6717402714684
2022-01-01,65.92906297703209,61.148185796256186,69.92080948427157,53.454273385420095,0.005821955741763533,71.52468516474642,19.6987383744629,1.4053228025723315e-9,60.87833611326511,87.37015882358601,83.57028822692021,90.26039412324917
2022-02-01,73.46125489470889,68.80105029364063,77.23827641375438,54.08641108114676,0.00592605385247386,72.15713007925035,24.052131534577192,1.7623663639554403e-9,69.17773613358591,91.03564993274672,88.51563780339777,92.9027107512135
2022-03-01,68.15926555888055,63.3903272953961,72.10910062686877,54.41079892443484,0.0059800306079571585,72.4795145249512,21.298647823956905,1.5342432879705858e-9,64.10547346186817,88.74532258270342,85.40933707258863,91.24730233511603
2022-04-01,76.74703013833167,72.21960812875254,80.35916391550529,54.45695257546319,0.0059877415706427505,72.52526371426579,26.338093506031395,1.958134210333644e-9,72.95504294564601,92.5279305195069,90.29239764557923,94.25509082967665
2022-05-01,77.80895584914667,73.33673007504733,81.3572554509725,54.50305950140199,0.0059954525327404785,72.57093685156694,27.0857497065848,2.0234861008994233e-9,74.10993482061744,92.97960954278615,90.81126346425812,94.69310848049062
2022-06-01,77.52095130159597,73.03312393836168,81.08709860242908,54.52609545724707,0.005999308013562302,72.59374494022892,26.902924624320352,2.0074472639741755e-9,73.83108799214992,92.86488016436746,90.68196137712347,94.58223328655954
2022-07-01,74.79541097042154,70.18251191121462,78.51121273466066,54.52609545724707,0.005999308013562302,72.59374494022892,25.125262261326846,1.853526776507412e-9,70.99811068743408,91.7333755123158,89.3258063058016,93.52100711504383
